instruction,input,output
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","and/or (E) the downgrade of the rating by more than two notches on the rating scale or the withdrawal of the long-term rating of Party B, its Affiliate, or a Person providing security for Party B´s obligations (if any).","и (или) (Д) снижение рейтинга более чем на два уровня по рейтинговой шкале или отзыв долгосрочного рейтинга Стороны Б, ее Связанного лица или Лица, предоставляющего обеспечение обязательств Стороны Б (при наличии)."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(d) An Additional Termination Event with respect to Party B (which shall be the Affected Party for the purposes of such an Additional Termination Event) shall be the impossibility of making settlements in the manner provided for in clause 6.13 of the Master Agreement (Sanction Restrictions), including:","(г) Дополнительное основание прекращения применительно к Стороне Б (которая будет являться Затронутой стороной для целей такого Дополнительного основания прекращения) является невозможность проведения расчетов в порядке, предусмотренном пунктом 6.13 Генерального соглашения (Санкционные ограничения), в том числе:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(A) the impossibility for Party A to enter into transactions on Russian and/or foreign exchanges (trading venues), if such transactions are necessary for risk management purposes in respect of the Transactions entered into under this Master Agreement;","(А) невозможность для Стороны А заключать сделки на российских и (или) иностранных биржах (организаторов торгов), если такие сделки необходимо заключать для целей управления риском по Сделкам, заключаемым в рамках настоящего Генерального соглашения;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(B) the blocking of the possibility of settlements through infrastructure and credit institutions, including, but not limited to, NCO JSC National Settlement Depository (NSD), NCO JSC National Clearing Center (NCC), SWIFT, Euroclear, settlements via correspondent accounts in Russian and foreign credit institutions.","(Б) блокировка возможности расчетов через инфраструктурные и кредитные организации, включая, но не ограничиваясь: НКО АО НРД, НКО НКЦ (АО), SWIFT, Euroclear, расчетов по корреспондентским счетам в российских и иностранных кредитных организациях;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(e) An Additional Termination Event with respect to Party B shall be Party A’s receipt from third parties of a notice of early termination (cancellation) of a transaction or transactions in accordance with the Russian or foreign law, pursuant to which transactions entered into for risk management or hedging purposes in respect of the Transactions entered into under this Master Agreement are early terminated (cancelled).","(д) Дополнительное основание прекращения применительно к Стороне Б является получение Стороной А от третьих лиц уведомления о досрочном прекращении (расторжении) сделки или сделок в соответствии с российским или иностранным правом, согласно которому досрочно прекращаются (расторгаются) сделки, заключенные для целей управления риском или хеджирования по Сделкам, заключенным в рамках настоящего Генерального соглашения."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","In pursuance of this clause 3.6 of the Master Agreement, upon the occurrence of any of the specified events, Party A shall be the Settlement Agent.",Для целей настоящего пункта 3.6 Генерального соглашения при наступлении любого из указанных событий Расчетным агентом является Сторона А.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",3.7 Sub-clause (a) of clause 5.1 of Article 5 of the Indicative Contractual Terms shall be set out as follows:,3.7 Подпункт (а) пункта 5.1 статьи 5 Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",“(а) Late payment or delivery.,"""(а) Просрочка платежа или поставки."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(A) Any Party’s failure to make any payment or delivery under a Transaction (except for a Transaction formed by an Agreement on Payment of Floating Margin Amounts (hereinafter referred to as the “Margin Amount Agreement”) concluded between the Parties in accordance with clause 1.3 of such agreement), if such failure continues after the end of the next Business Day following receipt by the debtor Party of notice of such failure.","(А) Просрочка Стороной какого-либо платежа или поставки по Сделке (за исключением Сделки, образованной заключенным Сторонами Договором о порядке уплаты плавающих маржевых сумм (далее - ""Договор о маржевых суммах"") согласно пункту 1.3 такого договора), если указанное нарушение продолжается после истечения следующего Рабочего дня после получения Стороной-должником уведомления о такой просрочке"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(B) Failure of Party B as a Payer of floating margin amounts under the Margin Amount Agreement to pay the Floating Margin Amount or Additional Margin Amount to Party A as a Recipient of floating margin amounts under the Margin Amount Agreement.,(Б) Просрочка Стороной Б как Плательщиком плавающих маржевых сумм по Договору о маржевых суммах уплаты Плавающей маржевой суммы или Дополнительной маржевой суммы Стороне А как Получателю плавающих маржевых сумм по Договору о маржевых суммах.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","For the purposes of this sub-clause (B), capitalized terms not defined in the Master Agreement shall have the meaning given to them in the Margin Amount Agreement.”","Для целей настоящего подпункта (Б), термины, использованные с заглавной буквы и не определенные в Генеральном соглашении, имеют значение, определенное в Договоре о маржевых суммах.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",3.8 Clause 5.1 of Article 5 of the Indicative Contractual Terms shall be supplemented with the following provisions:,3.8 Пункт 5.1 статьи 5 Примерных условий договора дополнить следующими положениями:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“(j) Request for payment of Floating Margin Amounts in the absence of sufficient grounds. Party B, as a Payer of the floating margin amounts under the Margin Amount Agreement, in the absence of grounds provided for in clause 2.3 of Article 2 of the Standard Terms and Conditions of the Agreement on Payment of Floating Margin Amounts 2011, requests payment of the Floating Margin Amount or the Additional Margin Amount by Party A, as a Recipient of the floating margin amounts under the Margin Amount Agreement. For the purposes of this sub-clause (j), the Defaulting Party shall be Party B.","""(к) Требование уплаты Плавающих маржевых сумм в отсутствие достаточных оснований. Сторона Б как Плательщик плавающих маржевых сумм по Договору о маржевых суммах в отсутствие оснований, предусмотренных пунктом 2.3 статьи 2 Стандартных условий договора о порядке уплаты плавающих маржевых сумм 2011 г., требует уплаты Плавающей маржевой суммы или Дополнительной маржевой суммы Стороной А как Получателем плавающих маржевых сумм по Договору о маржевых суммах. Для целей настоящего подпункта (к), Нарушившей стороной является Сторона Б."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","For the purposes of this sub-clause (j), capitalized terms not defined in the Master Agreement shall have the meaning given to them in the Margin Amount Agreement.","Для целей настоящего подпункта (к), термины, использованные с заглавной буквы и не определенные в Генеральном соглашении, имеют значение, определенное в Договоре о маржевых суммах."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(k) Reaching the Portfolio Termination Level. The Floating Margin Amount, calculated in accordance with clause 2.1 of Article 2 of the Standard Terms and Conditions of the Agreement on Payment of Floating Margin Amounts 2011 (as amended by the Margin Amount Agreement), is a positive number equal to or greater than the Minimum Payment Amount established for Party B as a Floating Margin Payer, and such Floating Margin Amount, expressed as a percentage of the Net Portfolio Commitment, exceeds the Portfolio Termination Level. In such case, notwithstanding any provisions of the Margin Amount Agreement to the contrary, when calculating the Floating Margin Amount for the purposes of this sub-clause (k), the Accumulated Margin Amounts shall exclude the Floating Margin Amounts previously claimed for payment by the Floating Margin Recipient and shall include the Floating Margin Amounts previously claimed for payment by the Floating Margin Payer, if any of such amounts has not been paid and the Payment Date under the obligation to pay such amount occurs on or after the Valuation Date. For the purposes of this sub-clause (k), the Defaulting Party shall be Party B.","(л) Достижение Уровня прекращения по портфелю. Плавающая маржевая сумма, рассчитанная в соответствии с пунктом 2.1 статьи 2 Стандартных условий договора о порядке уплаты плавающих маржевых сумм 2011 г. (с учетом изменений, внесенных Договором о маржевых суммах), составляет положительное число, равное Минимальной сумме платежа, установленной для Стороны Б как Плательщика плавающих маржевых сумм, или превышающее такую Минимальную сумму платежа, и такая Плавающая маржевая сумма, выраженная в процентах от Нетто-обязательства по портфелю, превышает Уровень прекращения по портфелю. При этом, несмотря на любые положения Договора о маржевых суммах об ином, при расчете Плавающей маржевой суммы для целей настоящего подпункта (л) из Накопленных маржевых сумм исключаются Плавающие маржевые суммы, требование об уплате которых Получатель плавающих маржевых сумм предъявил ранее, и в Накопленные маржевые суммы включаются Плавающие маржевые суммы, требование об уплате которых Плательщик плавающих маржевых сумм предъявил ранее, если какая-либо из этих сумм не была уплачена и Дата платежа по обязательству об уплате такой суммы наступает в Дату оценки или после нее. Для целей настоящего подпункта (л), Нарушившей стороной является Сторона Б."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","For the purposes of this sub-clause (k), capitalized terms not defined in the Master Agreement shall have the meaning given to them in the Margin Amount Agreement.”","Для целей настоящего подпункта (л), термины, использованные с заглавной буквы и не определенные в Генеральном соглашении, имеют значение, определенное в Договоре о маржевых суммах. ""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3.9 Sub-clause (h), clause 5.2, Article 5 of the Indicative Contractual Terms shall be amended to read as follows:",3.9 Подпункт (з) пункта 5.2 статьи 5 Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“(h) interference or similar actions by state or local government bodies, control or supervisory authorities in the operations, affairs, or business activities of a Party, its Affiliate, or a Person providing security, provided that such actions may, in the opinion of Party A, affect the ability of the relevant Party, its Affiliate, or a Person providing security to fulfill its obligations under the Master Agreement, including any of the Transactions, or the Security Document;”.","""(з) вмешательство или аналогичные действия со стороны органов государственной власти или местного самоуправления, контрольных или надзорных органов в операции, дела или хозяйственную деятельность Стороны, ее Связанного лица или Лица, предоставляющего обеспечение, при условии, что такие действия могут, по мнению Стороны А, негативно повлиять на способность соответствующей Стороны, ее Связанного лица или Лица, предоставляющего обеспечение, исполнять свои обязательства по Генеральному соглашению, в том числе любой из Сделок, или Документу об обеспечении;""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",3.10 Clause 6.2 of the Indicative Contractual Terms shall be supplemented with the second paragraph as follows:,3.10 Дополнить пункт 6.2 Примерных условий договора вторым абзацем следующего содержания:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“Regardless of whether any notice of early termination of obligations under all the Transactions is sent, the Non-Defaulting Party shall promptly, after it has become aware of the Default or Bankruptcy (except for the cases provided for in sub-clause (f), clause 5.2, and sub-clauses (C) and (E), sub-clause (g), clause 5.2, Article 5 of the Indicative Contractual Terms), inform the Defaulting Party thereof through the communication channels provided for in the Master Agreement. If the Default or Bankruptcy (except for the cases provided for in sub-clause (f), clause 5.2, and sub-clauses (C) and (E), sub-clause (g), clause 5.2, Article 5 of the Indicative Contractual Terms) has occurred and continues and the Non-Defaulting Party fails to provide a notice of early termination of obligations under all the Transactions, the Defaulting Party shall have the right to apply to the Non-Defaulting Party with a request for early termination of obligations under all the Transactions, and in this case the Non-Defaulting Party will be obliged to provide a notice of early termination of obligations under all the Transactions in the manner provided for in this clause 6.2”.","""Независимо от направления уведомления о досрочном прекращении обязательств по всем Сделкам, Ненарушившая сторона должна незамедлительно, после того как ей стало известно о Нарушении обязательства или Банкротстве (кроме случаев, предусмотренных подпунктом (е) пункта 5.2 и подпунктом (В) и подпунктом (Д) подпункта (ж) пункта 5.2 статьи 5 Примерных условий договора) информировать об этому Нарушившую сторону по каналам связи, предусмотренными Генеральным соглашением. Если Нарушение обязательства или Банкротство (кроме случаев, предусмотренных подпунктом (е) пункта 5.2 и подпунктом (В) и подпунктом (Д) подпункта (ж) пункта 5.2 статьи 5 Примерных условий договора) наступило и продолжается и Ненарушившая сторона не направляет уведомление о досрочном прекращении обязательств по всем Сделкам, Нарушившая сторона имеет право на обращение к Ненарушившей стороне с просьбой о досрочном прекращении обязательств по всем Сделкам, и в таком случае Ненарушившая сторона будет обязана направить уведомление о досрочном прекращении обязательств по всем Сделкам в порядке, предусмотренном настоящим пунктом 6.2.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3.11 In sub-clause (b), clause 6.8, Article 6 of the Indicative Contractual Terms, after the words “(on the basis of which the calculation was made)”, add “as broken down for each Transaction”.","3.11 В подпункте (б) пункта 6.8 статьи 6 Примерных условий договора после слов ""(на основании которых произведен расчет)"" дополнить ""с разбивкой в отношении каждой Сделки""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3.12 In sub-clause (e), clause 6.9, Article 6 of the Indicative Contractual Terms:",3.12 В подпункте (д) пункта 6.9 статьи 6 Примерных условий договора:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(a) before the words “costs or expenses”; and,"(а) перед словами ""издержки или расходы""; и"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(b) after the words “entitled to take into account (i)” and “transaction, (ii)”","(б) после слов ""вправе учесть (i)"" и ""сделке, (ii)"""
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",add “documented”.,"дополнить ""документально подтвержденные""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",3.13 A new sub-clause (i) shall be added to clause 6.9 of the Indicative Contractual Terms:,3.13 Добавить новый подпункт (и) в пункте 6.9 Примерных условий договора:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“(i) When requesting firm or indicative quotes for concluding replacement transactions, the Determining Party is entitled to use the Reuters-Dealing, Bloomberg, MOEX Dealing systems, the Trade Radar Information and Trading Terminal, email, as well as other communication means and systems which, at the time of requesting quotes, are used for the purpose of holding negotiations between professional market participants in accordance with business practice. A printout of negotiations with the Reference Dealers via such systems and communication means, including email, shall be a sufficient confirmation of the fact that quotes were provided and of their content.","«(и) При запросе твердых или индикативных котировок на заключение замещающих сделок Определяющая сторона вправе использовать системы «Reuters-Dealing», «Bloomberg», системe MOEX Dealing, Информационно-торговый терминал Трейд Радар (Trade Radar), электронную почту, а также иные средства и системы связи, которые в момент запроса котировок используются для целей ведения переговоров между профессиональными участниками рынка согласно деловому обороту. Распечатка переговоров с Дилерами-ориентирами по таким системам и средствам связи, включая электронную почту, является достаточным подтверждением факта выставления котировок и их содержания."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","The authority of the Reference Dealers´ representatives to provide quotes shall be deemed to arise from the circumstances, i. e., from the fact that such persons are granted access to the terminals of the specified communication means and email.","Полномочия представителей Дилеров-ориентиров на представление котировок считаются явствующими из обстановки, то есть из факта допуска таких лиц к терминалам указанных средств связи, электронной почте."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","When using the aforementioned systems and communication means, the system participant´s identification code, dealing code, username, or other conventional user designation automatically displayed on the monitor and affixed by the respective system in the message printout, as well as the email domain, are necessary and sufficient conditions allowing to reliably establish that the message and/or document originates from the respective Reference Dealer.”","При использовании вышеуказанных систем и средств связи идентификационный код участника системы, дилинговый код, имя пользователя или иное условное обозначение пользователя, автоматически высвечиваемые на мониторе и проставляемые соответствующей системой в распечатке сообщений, а также домен электронной почты, являются необходимыми и достаточными условиями, позволяющими достоверно установить, что сообщение и/или документ исходит от соответствующего Дилера-ориентира.»"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3.14 Determination of the Termination Amount upon the Occurrence of an Additional Termination Event. Regardless of which Party is the Affected Party with respect to an Additional Termination Event (including if both Parties are Affected Parties), Party A shall be the Determining Party. The Parties have agreed to make the following amendments to clause 6.8, Article 6 of the Indicative Contractual Terms:","3.14 Определение Суммы денежного обязательства при прекращении вследствие наступления Иного основания досрочного прекращения. Вне зависимости от того, какая из Сторон является Затронутой стороной по Иному основанию досрочного прекращения (в том числе если обе Стороны являются Затронутыми сторонами), Определяющей стороной является Сторона А. Стороны согласились внести следующие изменения в пункт 6.8 статьи 6 Примерных условий договора:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(а) the first paragraph shall be amended to read as follows:,(а) изложить первый абзац в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“Termination Amount Notice. On the Early Termination Date or as soon as reasonably practicable thereafter, the Non-Defaulting Party (in respect of the Default or Bankruptcy) or Party A (in respect of the Additional Termination Event):”; and",«Уведомление о сумме денежного обязательства при прекращении. В Дату досрочного прекращения либо в возможно короткий срок после ее наступления Ненарушившая сторона (в отношении Нарушения обязательства или Банкротства) или Сторона А (в отношении Иного основания досрочного прекращения):»; и
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(b) the last paragraph shall be removed.,(б) исключить последний абзац.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3.15 Sub-clause (b), clause 6.12, Article 6 of the Indicative Contractual Terms shall be amended to read as follows:",3.15 Подпункт (б) пункта 6.12 статьи 6 Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",“(b) upon early termination of obligations under the Affected Transactions due to the occurrence of an Additional Termination Event within one Business Day after receipt by the Affected Party or Party B (in the case of two Affected Parties) of the Termination Amount Notice.”.,"""(б) при досрочном прекращении обязательств по Затронутым сделкам вследствие наступления Иного основания досрочного прекращения в течение одного Рабочего дня после получения Затронутой стороной или Стороной Б (в случае двух Затронутых сторон) Уведомления о сумме денежного обязательства при прекращении.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",4. Document Submission,4. Представление документов
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",4.1 The Parties shall submit the following documents:,4.1 Стороны обязуются представить следующие документы:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party submitting a document,"Сторона, представляющая документ"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Document type,Вид документа
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Submission deadline,Срок представления
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Note on the application of clause 4.9, Article 4 of the Indicative Contractual Terms",Отметка о применении пункта 4.9 статьи 4 Примерных условий договора
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party B,Сторона Б
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Constituent documents,Учредительные документы
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Before or upon execution of the Master Agreement,До или при заключении Генерального соглашения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party B,Сторона Б
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",State Registration Certificate,Свидетельство о государственной регистрации
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Before or upon execution of the Master Agreement,До или при заключении Генерального соглашения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party A and Party B,Сторона А и Сторона Б
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",License material to Party A/B’s activities,"Лицензия, имеющая существенное значение для деятельности Стороны А/Б"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Before or upon execution of the Master Agreement,До или при заключении Генерального соглашения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party A and Party B,Сторона А и Сторона Б
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Card (or album) with specimen signatures of Party A/B’s authorized representatives,Карточка (или альбом) с образцами подписей уполномоченных представителей Стороны А/Б
